"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",25330,0.134527242696068,24735.2,0.131437855327952
1396,"Bacillus cereus",18463,0.0980567106947299,18482,0.0982096394266245
1520,"Clostridium beijerinckii",17317,0.0919703222174423,17316.6,0.0920169014711095
1642,"Listeria innocua",11423,0.0606673783386178,11435.1,0.0607641595986787
470,"Acinetobacter baumannii",11159,0.0592652783752636,11159,0.059296770562714
1299,"Deinococcus radiodurans",11084,0.0588669545220379,11084,0.0588982352847403
821,"Phocaeicola vulgatus",10608,0.0563389258002326,10608.7,0.0563726134918565
487,"Neisseria meningitidis",9922,0.0526955902893956,9922,0.0527235911159019
287,"Pseudomonas aeruginosa",9693,0.05147937479088,9692.9,0.0515062246110473
1309,"Streptococcus mutans",9466,0.0502737812617837,9447.4,0.0502018453661457
1660,"Schaalia odontolytica",8072,0.0428702685764968,8072,0.0428930218217621
1351,"Enterococcus faecalis",7941,0.0421745295795293,7919.8,0.0420845188841623
210,"Helicobacter pylori",6734,0.0357641710349516,6734,0.035783175424706
562,"Escherichia coli",6412,0.0340540339584362,6411.6,0.0340697636005247
1063,"Cereibacter sphaeroides",5461,0.0290032874995353,5460.6,0.0290166985776721
888745,"Streptococcus agalactiae",5405,0.0287058723557935,5419.7,0.0287993293168989
1596,"Lactobacillus gasseri",4274,0.022699148649151,4275.7,0.0227201234740866
837,"Porphyromonas gingivalis",3683,0.0195603566857331,3683.7,0.0195745272590732
1282,"Staphylococcus epidermidis",1645,0.00873656984741541,2215,0.0117701653474615
1313,"Streptococcus pneumoniae",922,0.00489672790232037,922.5,0.00490216707441757
1747,"Cutibacterium acnes",763,0.00405228133348204,763,0.00405443463751866
1354,"Enterococcus hirae",612,0.00325032264232111,614.3,0.00326406373736237
537011,"Segatella copri",607,0.00322376771877274,607,0.00322548076667605
29384,"Staphylococcus kloosii",223,0.00118434959025753,221.9,0.00117912875961521
1139996,"Enterococcus saccharolyticus",90,0.000477988623870752,100.1,0.0005320607558082
46126,"Staphylococcus chromogenes",85,0.000451433700322377,82.4,0.00043795631894191
33025,"Phascolarctobacterium faecium",48,0.000254927266064401,48,0.000255062729490034
53412,"Metapseudomonas resinovorans",44,0.000233683327225701,44.1,0.000234276300618688
