"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"1",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",2796,0.125482452203572,2721,0.12211707013732,"1","1280","1"
"2",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",2120,0.0951440624719505,2120,0.0951438401224576,"2","1520","1"
"3",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",2068,0.0928103401849026,2074.8,0.0931146366846027,"3","1396","1"
"4",NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",1378,0.0618436406067678,1378,0.0618436406067678,"4","1299","1"
"5",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua",1290,0.0578942644286868,1298.4,0.0582697236196687,"5","1642","1"
"6",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",1217,0.0546180773718697,1217,0.0546180417884016,"6","821","1"
"7",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",1171,0.0525536307333273,1162.4,0.0521657906515142,"7","1309","1"
"8",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",1124,0.0504443048200341,1124,0.0504442813952904,"8","287","1"
"9",NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",1120,0.0502647877210304,1120,0.0502647877210304,"9","487","1"
"10",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",1070,0.0480208239834844,1062.6,0.0476867435654002,"10","1351","1"
"11",NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",1042,0.0467642042904587,1042,0.0467641733675777,"11","1660","1"
"12",NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",982,0.0440714478054035,982,0.0440714478054035,"12","470","1"
"13",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",924,0.0414684498698501,934.9,0.0419571047525721,"13","888745","1"
"14",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",761,0.0341531280854501,761,0.0341520821701748,"14","562","1"
"15",NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",741,0.0332555425904317,741,0.0332555425904317,"15","210","1"
"16",NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",661,0.0296652006103581,661,0.0296652006103581,"16","1063","1"
"17",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",625,0.028049546719325,625.6,0.0280768185440934,"17","1596","1"
"18",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",447,0.0200610358136613,447,0.0200610358136613,"18","837","1"
"19",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes",251,0.0112646979624809,251,0.0112646979624809,"19","1747","1"
"20",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis",141,0.00632797773987972,204.6,0.0091806898358174,"20","1282","1"
"21",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",140,0.0062830984651288,140.3,0.00629468027692318,"21","1313","1"
"22",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",57,0.00255811866080244,57,0.00255811866080244,"22","537011","1"
"23",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus ureilyticus",31,0.00139125751727852,31.1,0.001394999637875,"23","94138","1"
"24",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae",26,0.00116686114352392,26,0.00116472888634555,"24","1354","1"
"25",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus manliponensis",21,0.000942464769769321,20.2,0.000905662090411707,"25","574376","1"
"26",NA,NA,"Bacillota","Bacilli","Bacillales","Planococcaceae","Viridibacillus","Viridibacillus arvi",8,0.00035903419800736,8.8,0.000396005444469562,"26","263475","1"
"27",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia fergusonii",6,0.00026927564850552,5.8,0.000262073075179236,"27","564","1"
"28",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria grayi",4,0.00017951709900368,3.7,0.000166206303062429,"29","1641","1"
"29",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus auricularis",4,0.00017951709900368,3.5,0.00015651504535872,"30","29379","1"
"30",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium butyricum",4,0.00017951709900368,4,0.000179739448497938,"31","1492","1"
"31",NA,NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium faecium",4,0.00017951709900368,4,0.00017951709900368,"28","33025","1"
"32",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria floridensis",3,0.00013463782425276,3,0.000134638143897369,"36","1494962","1"
"33",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hyicus",3,0.00013463782425276,3.5,0.000155369056251983,"34","1284","1"
"34",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus","Melissococcus plutonius",3,0.00013463782425276,3.1,0.000136968158306404,"35","940190","1"
"35",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus dysgalactiae",3,0.00013463782425276,3,0.000134844169826579,"32","1334","1"
"36",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii",3,0.00013463782425276,3,0.00013463782425276,"33","853","1"
"37",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria welshimeri",2,8.975854950184e-05,2.3,0.000103862482024048,"38","1643","1"
"38",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saprophyticus",2,8.975854950184e-05,2.2,9.96688361419911e-05,"40","29385","1"
"39",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus gilvus",2,8.975854950184e-05,2.2,9.75387375103655e-05,"37","160453","1"
"40",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens",2,8.975854950184e-05,1.8,8.07689406407932e-05,"39","657309","1"
"41",NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia cardiffensis",1,4.487927475092e-05,1,4.4910197626328e-05,"44","181487","1"
"42",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cytotoxicus",1,4.487927475092e-05,1,4.48807715012442e-05,"61","580165","1"
"43",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria aquatica",1,4.487927475092e-05,1,4.487927475092e-05,"63","1494960","1"
"44",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes",1,4.487927475092e-05,1,4.57020782501791e-05,"55","1639","1"
"45",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Mammaliicoccus","Mammaliicoccus sciuri",1,4.487927475092e-05,1,4.49675454364576e-05,"43","1296","1"
"46",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus chromogenes",1,4.487927475092e-05,1.1,4.78628916864565e-05,"48","46126","1"
"47",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus pseudolugdunensis",1,4.487927475092e-05,1,4.48793633419875e-05,"64","425474","1"
"48",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus asini",1,4.487927475092e-05,1,4.51284895710254e-05,"47","57732","1"
"49",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus moraviensis",1,4.487927475092e-05,1,4.60482109769762e-05,"59","155617","1"
"50",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus",1,4.487927475092e-05,1,4.63307423475251e-05,"50","1139996","1"
"51",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sanguinis",1,4.487927475092e-05,1,4.48811667140336e-05,"42","1305","1"
