"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",66740,0.141957714723274,66301.2,0.141096107516883
1396,"Bacillus cereus",48082,0.102271663759731,48123.6,0.102412243263468
1520,"Clostridium beijerinckii",47805,0.101682477559876,47805,0.101734194536197
1642,"Listeria innocua",30334,0.0645212064491428,30353.8,0.0645960721707021
821,"Phocaeicola vulgatus",27196,0.0578465988854384,27196,0.0578759958599648
1299,"Deinococcus radiodurans",26929,0.0572786829455056,26929,0.0573078159016473
487,"Neisseria meningitidis",25094,0.0533755902497128,25093.9,0.0534026214458469
1309,"Streptococcus mutans",24423,0.051948355808908,24361.4,0.0518436104777431
1351,"Enterococcus faecalis",21419,0.0455587697281661,21382.4,0.0455039933811821
287,"Pseudomonas aeruginosa",21223,0.0451418726336836,21223,0.0451647297938426
470,"Acinetobacter baumannii",20293,0.043163738460884,20293,0.0431856916150387
1660,"Schaalia odontolytica",19088,0.0406006721402136,19088,0.040621321767887
888745,"Streptococcus agalactiae",14952,0.031803292636236,15009.6,0.0319419952066954
1063,"Cereibacter sphaeroides",14858,0.0316033521929638,14858,0.0316194262195654
562,"Escherichia coli",14443,0.0307206364061769,14443,0.0307361956594532
210,"Helicobacter pylori",12159,0.0258625090398605,12159,0.0258756631214385
1596,"Lactobacillus gasseri",12122,0.0257838090781469,12124.8,0.0258027828854063
837,"Porphyromonas gingivalis",9508,0.0202237631343855,9508,0.0202340487845776
1747,"Cutibacterium acnes",2709,0.00576211341302591,2709.1,0.00576516046793423
537011,"Segatella copri",2517,0.00535372442251244,2517,0.00535644742190376
1313,"Streptococcus pneumoniae",2277,0.00484323818437061,2278.6,0.0048491137759218
1354,"Enterococcus hirae",1198,0.00254817713872464,1209.5,0.00257402657485681
1282,"Staphylococcus epidermidis",1152,0.00245033394308078,1536,0.00326871022866202
29384,"Staphylococcus kloosii",705,0.00149955332454163,703.7,0.00149755975515254
33025,"Phascolarctobacterium faecium",205,0.000436040328412813,205,0.000436262106273449
574376,"Bacillus manliponensis",198,0.00042115114646701,195.7,0.000416382353774751
1139996,"Enterococcus saccharolyticus",156,0.00033181605479219,154.1,0.000327954054796629
985762,"Staphylococcus agnetis",155,0.000329689028799932,138.7,0.000295274803397714
46126,"Staphylococcus chromogenes",81,0.000172289105372868,92.1,0.000195940435540231
46503,"Parabacteroides merdae",61,0.000129748585527715,61,0.000129814577964295
263475,"Viridibacillus arvi",58,0.000123367507550942,58.2,0.000123796802502587
853,"Faecalibacterium prausnitzii",57,0.000121240481558685,57,0.000121302146622374
1281,"Staphylococcus carnosus",53,0.000112732377589654,58.8,0.000125109691953484
1640,"Listeria seeligeri",52,0.000110605351597397,45.8,9.75516402514405e-05
155617,"Enterococcus moraviensis",52,0.000110605351597397,50.1,0.000106565362835848
1352,"Enterococcus faecium",51,0.000108478325605139,58.8,0.000125155613948
204516,"Phocaeicola massiliensis",47,9.99702216361084e-05,47,0.000100008206951672
53412,"Metapseudomonas resinovorans",46,9.78431956438508e-05,46,9.79884964086589e-05
28117,"Alistipes putredinis",44,9.35891436593355e-05,43.9,9.34585144678534e-05
47678,"Bacteroides caccae",43,9.14621176670779e-05,43,9.15086369256503e-05
338188,"Bacteroides finegoldii",42,8.93350916748203e-05,41.2,8.77042528836058e-05
940190,"Melissococcus plutonius",41,8.72080656825626e-05,40.4,8.60470814517824e-05
449673,"Bacteroides stercoris",38,8.08269877057898e-05,38,8.08680977482491e-05
580165,"Bacillus cytotoxicus",36,7.65729357212745e-05,36.2,7.71330065676324e-05
622,"Shigella dysenteriae",33,7.01918577445016e-05,32.8,6.98260938108896e-05
29378,"Staphylococcus arlettae",30,6.38107797677288e-05,30.2,6.43239091539011e-05
487174,"Barnesiella intestinihominis",27,5.74297017909559e-05,27,5.74589115579664e-05
357276,"Phocaeicola dorei",26,5.53026757986983e-05,26,5.53556374757998e-05
89014,"Blautia luti",24,5.1048623814183e-05,24,5.10745880515257e-05
1641,"Listeria grayi",23,4.89215978219254e-05,23.7,5.04474089607699e-05
40519,"Ruminococcus callidus",23,4.89215978219254e-05,23,4.89464802160455e-05
1816689,"Sutterella massiliensis",22,4.67945718296678e-05,22,4.68183723805653e-05
823,"Parabacteroides distasonis",21,4.46675458374101e-05,21,4.4690264545085e-05
586733,"Staphylococcus devriesei",20,4.25405198451525e-05,20.6,4.38009976380604e-05
417368,"Enterococcus thailandicus",18,3.82864678606373e-05,17.4,3.70038474388306e-05
425474,"Staphylococcus pseudolugdunensis",18,3.82864678606373e-05,18.2,3.87053901438905e-05
88431,"Dorea longicatena",17,3.61594418683796e-05,17,3.61778332031641e-05
1639,"Listeria monocytogenes",15,3.19053898838644e-05,15,3.1818396070143e-05
1640685,"Enterococcus massiliensis",15,3.19053898838644e-05,15.3,3.25214797025417e-05
44009,"Enterococcus dispar",14,2.97783638916068e-05,14.1,2.99978233407476e-05
214856,"Alistipes finegoldii",14,2.97783638916068e-05,12.9,2.73804970796808e-05
1334,"Streptococcus dysgalactiae",13,2.76513378993491e-05,13,2.76295977267873e-05
871665,"Blautia faecis",13,2.76513378993491e-05,13,2.76654018612431e-05
515619,"Agathobacter rectalis",13,2.76513378993491e-05,13,2.76654018612431e-05
2670334,"Lottiidibacillus patelloidae",13,2.76513378993491e-05,12.2,2.60271422765318e-05
1653776,"Halalkalibacter oceani",13,2.76513378993491e-05,13.1,2.78829887211786e-05
33945,"Enterococcus avium",12,2.55243119070915e-05,12.7,2.69586643869539e-05
29379,"Staphylococcus auricularis",12,2.55243119070915e-05,12.9,2.7494626230562e-05
1643,"Listeria welshimeri",12,2.55243119070915e-05,15.7,3.35022478301183e-05
1298596,"Mediterraneibacter faecis",12,2.55243119070915e-05,12,2.55372940257629e-05
1735,"Holdemanella biformis",12,2.55243119070915e-05,12,2.55372940257629e-05
