"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
1280,"Staphylococcus aureus",24084,0.121563916453831,23958.4,0.132255085244784
1396,"Bacillus cereus",17915,0.0904259077923258,17926.5,0.0989575533476172
223919,"Clostridium diolis",16889,0.0852471759254586,8444.8,0.0466168278125169
1520,"Clostridium beijerinckii",16889,0.0852471759254586,8444.8,0.0466168278125169
1640,"Listeria seeligeri",10880,0.0549167667753561,10871.8,0.0600144064838903
1299,"Deinococcus radiodurans",10683,0.053922409876942,10683,0.0589722499765392
470,"Acinetobacter baumannii",10322,0.0521002634793406,10322,0.0569794593520395
821,"Phocaeicola vulgatus",9954,0.0502427846031153,9953.3,0.0549443917074096
487,"Neisseria meningitidis",9729,0.0491070977902058,9729,0.0537059821538489
287,"Pseudomonas aeruginosa",9385,0.0473707588406909,9385.1,0.0518077103876526
1309,"Streptococcus mutans",9135,0.0461088846041248,9113,0.0503057350352531
1660,"Schaalia odontolytica",7816,0.0394512361320021,7816,0.0431456628901948
1351,"Enterococcus faecalis",7760,0.0391685763030113,7737.4,0.0427119146606582
210,"Helicobacter pylori",6265,0.0316225683683461,6265,0.0345840256578693
562,"Escherichia coli",6223,0.031410573496603,6222.6,0.034349749262403
1063,"Cereibacter sphaeroides",5351,0.0270091561594605,5351.4,0.0295409133957183
888745,"Streptococcus agalactiae",5340,0.0269536336930516,5356.4,0.0295681882516716
1596,"Lactobacillus gasseri",4441,0.02241593393836,4444.2,0.0245331000466225
837,"Porphyromonas gingivalis",3576,0.0180498490798413,3576.6,0.0197433990354527
29388,"Staphylococcus capitis",1595,0.00805075762929163,1699.8,0.00938318444396254
1313,"Streptococcus pneumoniae",855,0.00431560988905602,855.1,0.0047204170693674
1354,"Enterococcus hirae",665,0.00335658546926579,696.8,0.00384630651117318
1747,"Cutibacterium acnes",642,0.00324049303950171,642,0.00354404221760153
537011,"Segatella copri",554,0.00279631330823045,554,0.00305818838219627
29384,"Staphylococcus kloosii",195,0.000984261904521548,193.4,0.00106764519133168
1139996,"Enterococcus saccharolyticus",78,0.000393704761808619,82.1,0.000453380643667929
46126,"Staphylococcus chromogenes",52,0.000262469841205746,51.1,0.00028200424930622
33025,"Phascolarctobacterium faecium",49,0.000247327350366953,49,0.000270489586150933
1643,"Listeria welshimeri",43,0.000217042368689367,40.9,0.000225704121079374
53412,"Metapseudomonas resinovorans",38,0.000191804883958045,38.1,0.000210174705554711
33959,"Lactobacillus johnsonii",29,0.000146377411441666,27.1,0.000149538447703688
263475,"Viridibacillus arvi",27,0.000136282417549137,26.2,0.000144862384036002
